"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","HTTP","",""
"pre_128cipher","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","",""
"SSLv3","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","",""
"TLS1","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"TLS1_1","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"TLS1_2","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"TLS1_3","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered with final","",""
"ALPN_HTTP2","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","h2","",""
"ALPN","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","http/1.1","",""
"cipherlist_NULL","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.fabrique.social.gouv.fr/154.41.70.5","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"cipher_order-tls1_2","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","server","",""
"cipherorder_TLSv1_2","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"FS_ciphers","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_KEMs","www.fabrique.social.gouv.fr/154.41.70.5","443","LOW","No KEMs offered","",""
